album	artist	genre	score	author	date	link	genre_num
Why Love Now	Pissed Jeans	Rock	7.9	Evan Rytlewski	March 1 2017	https://pitchfork.com/reviews/albums/22889-why-love-now/	7
Hi Beams	Javelin	Electronic,Rock	4.8	Zach Kelly	March 5 2013	https://pitchfork.com/reviews/albums/17674-javelin-hi-beams/	2
Helena Espvall & Masaki Batoh	Helena Espvall & Masaki Batoh	nan	7.1	Matthew Murphy	September 10 2008	https://pitchfork.com/reviews/albums/12167-helena-espvall-masaki-batoh/	9
Auditorium	Radar Bros.	Rock	5.5	Ben Westhoff	January 29 2008	https://pitchfork.com/reviews/albums/11078-auditorium/	7
Jewelry	Matthewdavid	Electronic	6.7	Zach Kelly	March 12 2012	https://pitchfork.com/reviews/albums/16376-matthewdavid-jewelry/	2
Here Be Monsters	Ed Harcourt	Rock	4.0	Eric Carr	May 30 2002	https://pitchfork.com/reviews/albums/3739-here-be-monsters/	7
Ordinary Corrupt Human Love	Deafheaven	Metal	8.5	Sam Sodomsky	July 13 2018	https://pitchfork.com/reviews/albums/deafheaven-ordinary-corrupt-human-love/	8
Blood Bank EP	Bon Iver	Rock	7.9	Amanda Petrusich	January 20 2009	https://pitchfork.com/reviews/albums/12581-blood-bank-ep/	7
New Jet City	Curren$y	Rap	6.9	Mike Madden	February 25 2013	https://pitchfork.com/reviews/albums/17761-curreny-new-jet-city/	4
Attention Deficit	Wale	Rap	6.6	Sean Fennessey	November 10 2009	https://pitchfork.com/reviews/albums/13695-attention-deficit/	4
Terraplane	Steve Earle & the Dukes	Folk/Country	6.3	Stephen M. Deusner	February 25 2015	https://pitchfork.com/reviews/albums/20282-terraplane/	6
Arm's Way	Islands	Rock	6.2	Rebecca Raber	May 20 2008	https://pitchfork.com/reviews/albums/11420-arms-way/	7
Instrumentals 2015	Flying Saucer Attack	Rock	6.8	Brandon Stosuy	July 15 2015	https://pitchfork.com/reviews/albums/20667-instrumentals-2015/	7
Final Days	Cult of Youth	Electronic,Folk/Country	8.1	Stuart Berman	November 12 2014	https://pitchfork.com/reviews/albums/19867-cult-of-youth-final-days/	2
Academy Songs, Volume I	Holopaw	Rock	5.8	Stephen M. Deusner	January 10 2013	https://pitchfork.com/reviews/albums/17500-academy-songs-volume-i/	7
The Way Things Fall	ADULT.	Electronic	7.7	Miles Raymer	May 14 2013	https://pitchfork.com/reviews/albums/17997-adult-the-way-things-fall/	2
The Lioness	Songs: Ohia	Rock	7.6	Meg Zamula	January 17 2000	https://pitchfork.com/reviews/albums/7334-the-lioness/	7
Lights	Ellie Goulding	Electronic	6.8	Stephen Troussé	March 5 2010	https://pitchfork.com/reviews/albums/13995-lights/	2
Fear of Flying	David Karsten Daniels	Folk/Country	5.9	Amy Granzin	July 9 2008	https://pitchfork.com/reviews/albums/11962-fear-of-flying/	6
Caramel	Konx-om-Pax	Electronic	7.4	Andy Beta	July 18 2016	https://pitchfork.com/reviews/albums/22087-caramel/	2
Where All Is Fled	Steve Hauschildt	Electronic	7.5	Philip Sherburne	October 8 2015	https://pitchfork.com/reviews/albums/21095-where-all-is-fled/	2
Salt Marie Celeste	Nurse With Wound	Experimental	4.9	Alexander Lloyd Linhardt	September 8 2003	https://pitchfork.com/reviews/albums/11790-salt-marie-celeste-she-and-me-fall-together-in-free-death-the-musty-odour-of-pierced-rectums/	0
Never Hungover Again	Joyce Manor	Rock	7.8	Ian Cohen	July 21 2014	https://pitchfork.com/reviews/albums/19507-joyce-manor-never-hungover-again/	7
Apokalypsis	Chelsea Wolfe	Rock	7.3	David Raposa	October 6 2011	https://pitchfork.com/reviews/albums/15893-chelsea-wolfe-apokalypsis/	7
En Yay Sah	Janka Nabay and the Bubu Gang	Global	7.3	Joe Tangari	August 13 2012	https://pitchfork.com/reviews/albums/16911-en-yay-sah/	1
Metamorphosis: Ghost Chronicles 1984-2004	Ghost	Metal	8.5	Matthew Murphy	March 31 2005	https://pitchfork.com/reviews/albums/3441-metamorphosis-ghost-chronicles-1984-2004/	8
Mon Pays	Vieux Farka Touré	Global	8.0	Joe Tangari	August 29 2013	https://pitchfork.com/reviews/albums/18431-vieux-farka-toure-mon-pays/	1
The King of Limbs	Radiohead	Rock	7.9	Mark Pytlik	February 24 2011	https://pitchfork.com/reviews/albums/15149-the-king-of-limbs/	7
True Romance	Estelle	Rock	6.9	Molly Beauchemin	March 3 2015	https://pitchfork.com/reviews/albums/20257-true-romance/	7
Säkert!	Säkert!	Rock	7.7	"Stosh ""Piz"" Piznarski"	May 16 2007	https://pitchfork.com/reviews/albums/10183-sakert/	7
Listennn...The Album	DJ Khaled	Rap	7.2	Tom Breihan	August 21 2006	https://pitchfork.com/reviews/albums/9286-listennnthe-album/	4
The Encyclopedia of Arto Lindsay	Arto Lindsay	Experimental	7.7	Nick Neyland	May 19 2014	https://pitchfork.com/reviews/albums/19347-arto-lindsay-the-encyclopedia-of-arto-lindsay/	0
Tommy	Dosh	Electronic,Rap	6.9	Larry Fitzmaurice	April 9 2010	https://pitchfork.com/reviews/albums/14114-tommy/	2
Await Barbarians	Alexis Taylor	Electronic	5.9	Larry Fitzmaurice	June 25 2014	https://pitchfork.com/reviews/albums/19455-alexis-taylor-await-barbarians/	2
Stick 2 the Script	Statik Selektah	Rap	6.6	Tom Breihan	November 21 2008	https://pitchfork.com/reviews/albums/12456-stick-2-the-script/	4
A Flowering Tree	John Adams	Experimental	8.4	Jayson Greene	September 17 2008	https://pitchfork.com/reviews/albums/12198-a-flowering-tree/	0
Skin and Bones	Flashy Python	Rock	6.5	Eric Harvey	October 21 2009	https://pitchfork.com/reviews/albums/13582-skin-and-bones-mo-beauty/	7
Take Them On, On Your Own	Black Rebel Motorcycle Club	Rock	6.9	Amanda Petrusich	September 3 2003	https://pitchfork.com/reviews/albums/771-take-them-on-on-your-own/	7
Encore	Eminem	Rap	6.5	Scott Plagenhoef	November 11 2004	https://pitchfork.com/reviews/albums/2772-encore/	4
I Feel Cream	Peaches	Electronic	7.3	Matthew Perpetua	May 6 2009	https://pitchfork.com/reviews/albums/13003-i-feel-cream/	2
Twinkle Echo	Casiotone for the Painfully Alone	Rock	6.9	William Morris	September 25 2003	https://pitchfork.com/reviews/albums/1336-twinkle-echo/	7
The Past Presents the Future	Her Space Holiday	Electronic,Rock	4.7	Marc Hogan	October 26 2005	https://pitchfork.com/reviews/albums/3828-the-past-presents-the-future/	2
I Came From Nothing 3	Young Thug	Rap	6.9	David Drake	August 6 2012	https://pitchfork.com/reviews/albums/16953-i-came-from-nothing-3/	4
Clash the Truth	Beach Fossils	Experimental,Rock	5.8	Ian Cohen	February 18 2013	https://pitchfork.com/reviews/albums/17621-beach-fossils-clash-the-truth/	0
White Friday (CM9)	Yo Gotti	Rap	6.8	Jay Balfour	January 11 2017	https://pitchfork.com/reviews/albums/22761-white-friday-cm9/	4
Ticket Crystals	Bardo Pond	Rock	6.2	Mia Lily Clarke	June 16 2006	https://pitchfork.com/reviews/albums/8999-ticket-crystals/	7
Posthumous Release	Coma Cinema	nan	6.1	Ian Cohen	June 14 2013	https://pitchfork.com/reviews/albums/18120-coma-cinema-posthumous-release/	9
Perfect Abandon	Tom Brosseau	Folk/Country	7.0	Jeremy Gordon	March 6 2015	https://pitchfork.com/reviews/albums/20302-perfect-abandon/	6
And This Is Our Music	The Brian Jonestown Massacre	Rock	7.8	J.H. Tompkins	July 18 2004	https://pitchfork.com/reviews/albums/928-and-this-is-our-music/	7
No Word From Tom	Hem	Folk/Country,Pop/R&B	6.2	Stephen M. Deusner	February 13 2006	https://pitchfork.com/reviews/albums/3995-no-word-from-tom/	6
I See the Sign	Sam Amidon	Rock	8.1	Amanda Petrusich	April 21 2010	https://pitchfork.com/reviews/albums/14149-i-see-the-sign/	7
Sleeper	Ty Segall	Rock	8.2	Evan Minsker	August 21 2013	https://pitchfork.com/reviews/albums/18398-ty-segall-sleeper/	7
About to Choke [Reissue]	Vic Chesnutt	Rock	7.5	Stephen M. Deusner	June 21 2010	https://pitchfork.com/reviews/albums/14370-about-to-choke-reissue/	7
BlaQKout	DJ Quik, Kurupt	Rap	8.2	David Drake	June 18 2009	https://pitchfork.com/reviews/albums/13211-blaqkout/	4
Wings Beneath the Sills/Casket City Wolves	Resplendent	nan	8.4	Joe Tangari	February 10 2004	https://pitchfork.com/reviews/albums/11817-wings-beneath-the-sillscasket-city-wolves/	9
MTMTMK	The Very Best	Electronic	7.0	Brian Howe	July 19 2012	https://pitchfork.com/reviews/albums/16835-mtmtmk/	2
Obsidian	Baths	Electronic	8.6	Ian Cohen	May 28 2013	https://pitchfork.com/reviews/albums/18065-baths-obsidian/	2
Defective Epitaph	Xasthur	Metal,Rock	6.9	Brandon Stosuy	February 8 2008	https://pitchfork.com/reviews/albums/11652-defective-epitaph-a-gate-through-bloodstained-mirrors/	8
No Fun Demo	Dino Felipe	Electronic	7.2	Marc Masters	July 24 2008	https://pitchfork.com/reviews/albums/12011-no-fun-demo/	2
Infinity Caller	Grooms	Rock	7.0	Jayson Greene	September 11 2013	https://pitchfork.com/reviews/albums/18507-grooms-infinity-caller/	7
The Budos Band II	The Budos Band	Global,Pop/R&B	7.6	Joe Tangari	September 7 2007	https://pitchfork.com/reviews/albums/10593-the-budos-band-ii/	1
Step Brothers 2	Don Trip, Starlito	Rap	7.7	Jayson Greene	December 9 2013	https://pitchfork.com/reviews/albums/18803-don-trip-starlito-step-brothers-2/	4
Chains and Black Exhaust	Various Artists	nan	8.2	Dominique Leone	March 3 2003	https://pitchfork.com/reviews/albums/1911-chains-and-black-exhaust/	9
The Cavern EP	Inter Arma	Metal	8.3	Grayson Haver Currin	October 24 2014	https://pitchfork.com/reviews/albums/19523-inter-arma-the-cavern-ep/	8
Ancient Romans	Sun Araw	Experimental	7.9	Paul Thompson	August 31 2011	https://pitchfork.com/reviews/albums/15771-ancient-romans/	0
Hemlock Recordings: Chapter One	Various Artists	nan	7.0	Mike Powell	November 29 2012	https://pitchfork.com/reviews/albums/17302-hemlock-recordings-chapter-one/	9
100 Lbs	Matthew Herbert	Electronic	8.1	Andy Battaglia	January 11 2007	https://pitchfork.com/reviews/albums/9757-100-lbs/	2
Lightning Dust	Lightning Dust	Folk/Country	7.2	Adam Moerder	June 7 2007	https://pitchfork.com/reviews/albums/10278-lightning-dust/	6
Born and Raised in Compton: The Greatest Hits	DJ Quik	Rap	8.1	Sean Fennessey	August 24 2006	https://pitchfork.com/reviews/albums/9312-born-and-raised-in-compton-the-greatest-hits/	4
Jesus of Cool	Nick Lowe	Rock	9.3	Matt LeMay	February 18 2008	https://pitchfork.com/reviews/albums/11183-jesus-of-cool/	7
So Far Gone	Drake	Rap	7.4	Tom Breihan	June 29 2009	https://pitchfork.com/reviews/albums/13238-so-far-gone/	4
Dream House	Âme	Electronic	4.8	Daniel Martin-McCormick	June 2 2018	https://pitchfork.com/reviews/albums/ame-dream-house/	2
The Young Machines Remixed	Her Space Holiday	Electronic,Rock	6.8	Cameron Macdonald	December 2 2004	https://pitchfork.com/reviews/albums/3827-the-young-machines-remixed/	2
I Am Back To Blow Your Mind Once Again	Peter Buck	Rock	7.1	Stephen M. Deusner	February 21 2014	https://pitchfork.com/reviews/albums/19059-peter-buck-i-am-back-to-blow-your-mind-once-again/	7
The Heart of the Nightlife	Kisses	Electronic,Rock	7.0	Paul Thompson	January 21 2011	https://pitchfork.com/reviews/albums/15025-the-heart-of-the-nightlife/	2
Virgins	Tim Hecker	Experimental	8.3	Mike Powell	October 15 2013	https://pitchfork.com/reviews/albums/18559-tim-hecker-virgins/	0
New Tones	NOMO	Global,Jazz,Pop/R&B	8.4	Joe Tangari	May 31 2006	https://pitchfork.com/reviews/albums/9064-new-tones/	1
Wilson Semiconductors	The Howling Hex	Rock	5.4	Nick Neyland	January 25 2012	https://pitchfork.com/reviews/albums/16200-wilson-semiconductors/	7
Zebra	Karl Blau	Folk/Country	7.2	Grayson Currin	October 19 2009	https://pitchfork.com/reviews/albums/13591-zebra/	6
Abandoned Language	Dälek	Rap	7.7	Tom Breihan	March 8 2007	https://pitchfork.com/reviews/albums/9968-abandoned-language/	4
Prickle EP	Mira Calix	Electronic	7.8	Christopher Dare	March 7 2002	https://pitchfork.com/reviews/albums/1246-prickle-ep/	2
Consolation EP	Protomartyr	Rock	7.7	Jenn Pelly	June 15 2018	https://pitchfork.com/reviews/albums/protomartyr-consolation-ep/	7
Nigeria Afrobeat Special: The New Explosive Sound in 1970s Nigeria	Various Artists	nan	6.1	Douglas Wolk	March 4 2010	https://pitchfork.com/reviews/albums/13978-nigeria-afrobeat-special-the-new-explosive-sound-in-1970s-nigeria/	9
All That I Hold Dear	Homeboy Sandman	Rap	7.2	Jonah Bromwich	August 8 2013	https://pitchfork.com/reviews/albums/18354-homeboy-sandman-all-that-i-hold-dear/	4
Drilluminati 2	King L	Rap	6.7	Jordan Sargent	January 8 2014	https://pitchfork.com/reviews/albums/18831-king-louie-drilluminati-2/	4
Rough Travel for a Rare Thing	Bill Callahan	Rock	8.3	Mark Richardson	April 16 2010	https://pitchfork.com/reviews/albums/14135-rough-travel-for-a-rare-thing/	7
Melted	Ty Segall	Rock	7.5	Paul Thompson	June 15 2010	https://pitchfork.com/reviews/albums/14347-melted/	7
A People's History of The Dismemberment Plan	The Dismemberment Plan	Rock	6.0	Joe Tangari	October 6 2003	https://pitchfork.com/reviews/albums/2340-a-peoples-history-of-the-dismemberment-plan/	7
Faithful Man	Lee Fields & the Expressions	Pop/R&B	7.0	Joe Tangari	March 9 2012	https://pitchfork.com/reviews/albums/16371-faithful-man/	3
Candy Bar Creep Show	MS MR	Electronic	7.4	Katherine St. Asaph	October 5 2012	https://pitchfork.com/reviews/albums/17234-candy-bar-creep-show/	2
Boogalou Reed	Obnox	Rock	7.8	Marc Masters	February 3 2015	https://pitchfork.com/reviews/albums/20168-boogalou-reed/	7
Vauxhall and I	Morrissey	Rock	7.8	Jason Heller	June 5 2014	https://pitchfork.com/reviews/albums/19411-morrissey-vauxhall-and-i/	7
All Over the World: The Very Best of Electric Light Orchestra	Electric Light Orchestra	Rock	7.7	Rob Mitchum	August 7 2005	https://pitchfork.com/reviews/albums/2934-all-over-the-world-the-very-best-of-electric-light-orchestra/	7
Cracked Actor (Live Los Angeles ’74)	David Bowie	Rock	8.0	Chris Randle	June 29 2017	https://pitchfork.com/reviews/albums/david-bowie-cracked-actor-live-los-angeles-74/	7
Voxtrot	Voxtrot	Rock	5.9	Eric Harvey	May 24 2007	https://pitchfork.com/reviews/albums/10249-voxtrot/	7
Logos	Atlas Sound	Rock	8.2	Mark Richardson	October 22 2009	https://pitchfork.com/reviews/albums/13619-logos/	7
The Past Was Faster	Kelley Stoltz	Rock	3.5	Matt LeMay	December 14 1999	https://pitchfork.com/reviews/albums/7521-the-past-was-faster/	7
Fantasy Ride	Ciara	Pop/R&B	4.4	Tom Breihan	May 21 2009	https://pitchfork.com/reviews/albums/13092-fantasy-ride/	3
Jack of Diamonds	John Phillips	Folk/Country	3.0	Joshua Klein	October 31 2007	https://pitchfork.com/reviews/albums/10644-jack-of-diamonds/	6
Bored Nothing	Bored Nothing	nan	7.0	Sam Hockley-Smith	April 22 2013	https://pitchfork.com/reviews/albums/18018-bored-nothing-bored-nothing/	9
Miniatures	Alog	Electronic,Jazz,Rock	8.4	Mark Richardson	March 3 2005	https://pitchfork.com/reviews/albums/461-miniatures/	2
True Magic	Mos Def	Rap	4.5	Sean Fennessey	January 4 2007	https://pitchfork.com/reviews/albums/9738-true-magic/	4
Rules	The Whitest Boy Alive	Electronic,Rock	6.3	Nate Patrin	April 1 2009	https://pitchfork.com/reviews/albums/12830-rules/	2
My 1st Chemistry Set	Boldy James, The Alchemist	Rap	7.4	Jayson Greene	November 6 2013	https://pitchfork.com/reviews/albums/18647-boldy-james-the-alchemist-my-1st-chemistry-set/	4
Bangs & Works Vol. 2	Various Artists	nan	7.8	Andrew Ryce	November 14 2011	https://pitchfork.com/reviews/albums/16033-bangs-and-works-vol-2/	9
What a Pleasure EP	Beach Fossils	Experimental,Rock	7.2	Martin Douglas	March 8 2011	https://pitchfork.com/reviews/albums/15161-what-a-pleasure-ep/	0
The Only Thing I Ever Wanted	Psapp	Electronic,Pop/R&B	7.0	Mark Richardson	June 8 2006	https://pitchfork.com/reviews/albums/9096-the-only-thing-i-ever-wanted/	2
The Terror	The Flaming Lips	Rock	7.8	Stuart Berman	April 4 2013	https://pitchfork.com/reviews/albums/17804-the-flaming-lips-the-terror/	7
Ghosts Go Blind	Ola Podrida	Rock	7.7	Brian Howe	May 2 2013	https://pitchfork.com/reviews/albums/17957-ola-podrida-ghosts-go-blind/	7
Buhloone Mindstate	De La Soul	Rap	9.1	Andrew Nosnitsky	July 24 2016	https://pitchfork.com/reviews/albums/22043-buhloone-mindstate/	4
God Forgives, I Don't	Rick Ross	Rap	6.8	Jayson Greene	July 30 2012	https://pitchfork.com/reviews/albums/16997-god-forgives-i-dont/	4
Hotel	Moby	Electronic	2.4	Rob Mitchum	March 17 2005	https://pitchfork.com/reviews/albums/5349-hotel/	2
Belly of the Lion	Ola Podrida	Rock	7.8	Stephen M. Deusner	November 12 2009	https://pitchfork.com/reviews/albums/13682-belly-of-the-lion/	7
Music for Dogs	Gardens & Villa	Rock	4.7	Zoe Camp	August 21 2015	https://pitchfork.com/reviews/albums/20969-music-for-dogs/	7
Fight for Anarchy EP	Ladyhawk	Rock	5.4	Grayson Currin	May 15 2007	https://pitchfork.com/reviews/albums/10222-fight-for-anarchy-ep/	7
Baba's Mountain	Apes	Rock	6.9	Jason Crock	September 19 2005	https://pitchfork.com/reviews/albums/220-babas-mountain/	7
The Mezzanine	Liz Durrett	Folk/Country	5.6	Ryan Dombal	May 15 2006	https://pitchfork.com/reviews/albums/2598-the-mezzanine/	6
Cosmic Vibrations	Secret Circuit	Pop/R&B	7.4	Andy Beta	January 16 2015	https://pitchfork.com/reviews/albums/20117-cosmic-vibrations/	3
II	Lindstrøm & Prins Thomas	Pop/R&B	8.1	Nate Patrin	June 1 2009	https://pitchfork.com/reviews/albums/13064-ii/	3
This Alone Above All Else in Spite of Everything	Boduf Songs	Folk/Country	7.2	Amy Granzin	September 14 2010	https://pitchfork.com/reviews/albums/14630-this-alone-above-all-else-in-spite-of-everything/	6
Laugh Now, Fly Later	Wiz Khalifa	Rap	5.2	Evan Rytlewski	November 15 2017	https://pitchfork.com/reviews/albums/wiz-khalifa-laugh-now-fly-later/	4
Nothing Hurts	Male Bonding	nan	8.5	Nitsuh Abebe	May 13 2010	https://pitchfork.com/reviews/albums/14241-nothing-hurts/	9
Loney, Noir	Loney Dear	Rock	6.6	Brian Howe	February 6 2007	https://pitchfork.com/reviews/albums/9863-loney-noir/	7
My Old, Familiar Friend	Brendan Benson	Rock	7.0	Joshua Klein	August 10 2009	https://pitchfork.com/reviews/albums/13362-my-old-familiar-friend/	7
Devin Dazzle and The Neon Fever	Felix Da Housecat	Electronic,Rock	7.8	Dominique Leone	May 23 2004	https://pitchfork.com/reviews/albums/3030-devin-dazzle-and-the-neon-fever/	2
Hymnal	Benoît Pioulard	Electronic	6.7	Nick Neyland	March 4 2013	https://pitchfork.com/reviews/albums/17670-benoit-pioulard-hymnal/	2
Shit Don’t Stop	G Perico	Rap	7.5	Paul A. Thompson	October 11 2016	https://pitchfork.com/reviews/albums/22486-shit-dont-stop/	4
Advaitic Songs	Om	Metal,Rock	5.2	Mike Powell	July 27 2012	https://pitchfork.com/reviews/albums/16868-advaitic-songs/	8
Heart Like a Levee	Hiss Golden Messenger	Folk/Country	8.2	Laura Snapes	October 11 2016	https://pitchfork.com/reviews/albums/22323-heart-like-a-levee/	6
Swim	Caribou	Rock	8.4	Larry Fitzmaurice	April 20 2010	https://pitchfork.com/reviews/albums/14157-swim/	7
New River Head	The Bevis Frond	Rock	9.1	Brandon Stosuy	November 20 2003	https://pitchfork.com/reviews/albums/685-new-river-head/	7
Zeros	The Soft Moon	Rock	7.0	Brandon Stosuy	November 2 2012	https://pitchfork.com/reviews/albums/17207-zeros/	7
Night Ripper	Girl Talk	Electronic	8.4	Sean Fennessey	July 17 2006	https://pitchfork.com/reviews/albums/9208-night-ripper/	2
Late Nights: The Album	Jeremih	Pop/R&B	8.3	Meaghan Garvey	December 9 2015	https://pitchfork.com/reviews/albums/21340-late-nights-the-album/	3
Dark Light Daybreak	Now It's Overhead	Rock	6.6	Brian Howe	September 25 2006	https://pitchfork.com/reviews/albums/9434-dark-light-daybreak/	7
White Bread, Black Beer	Scritti Politti	Electronic,Rock	8.1	Nitsuh Abebe	July 10 2006	https://pitchfork.com/reviews/albums/9166-white-bread-black-beer/	2
Home Acres	Aloha	Rock	6.8	Eric Harvey	March 11 2010	https://pitchfork.com/reviews/albums/14000-home-acres/	7
Eyes Set Against the Sun	Mira Calix	Electronic	7.2	Liz Colville	April 25 2007	https://pitchfork.com/reviews/albums/10120-eyes-set-against-the-sun/	2
Nun EP	Teengirl Fantasy	Electronic	6.7	Zach Kelly	November 26 2013	https://pitchfork.com/reviews/albums/18775-teengirl-fantasy-nun-ep/	2
Snapshot EP	Mission of Burma	nan	8.2	David Raposa	January 18 2005	https://pitchfork.com/reviews/albums/8985-snapshot-ep/	9
